word,element,glottocode,word_id
kiːrət,o,afri1274,
ˈnuərəvənt,ococa,afri1274,
strəi,co,afri1274,
ˈkrəi,co,afri1274,
ˈɁuər vi,oc,afri1274,
ˈstærkstə,ococ,afri1274,
naː rə,o,afri1274,
əˈrəisə,oco,afri1274,
səxər fə,oc,afri1274,
fər ˈbɑi,oc,afri1274,
ˈvɑrə,ococ,afri1274,
vɑ rət,o,afri1274,
kɑn ˈræx,a,afri1274,
xkrəi,co,afri1274,
mi ˈrəisəx,oco,afri1274,
ˈəxər tə ,ococ,afri1274,
ˈstærkstə,oc,afri1274,
ˈɁyːrə,o,afri1274,
vær təs,oco,afri1274,
maːr ɦu,o,afri1274,
ˈɦɑrdə,oc,afri1274,
dər ɦəi,oc,afri1274,
ˈdəxtər ɦœl,oco,afri1274,
diˈrəisə,oco,afri1274,
əxər di,oc,afri1274,
nuərdəvənt,ococ,afri1274,
səi ˈrøːsə,ococo,afri1274,
faːr ||,oc,afri1274,
ˈvɑrəm,oco,afri1274,
ˈdaːrlək,o,afri1274,
træ,co,afri1274,
ki ˈrəisə,oco,afri1274,
əxər sɛː,o,afri1274,
ˈnuərdəvənt,oc,afri1274,
Ɂærˈkɛn,oc,afri1274,
stɛrkstə,ococ,afri1274,
ʔɐmɐɾasɪ,o,koto1251,
nɛkmɛsɛ ɾɛʔ,a,koto1251,
kɔrʔɔt̪ɔ,o,koto1251,
rɛʔ,co,koto1251,
ʔɔɾas,o,koto1251,
'noɾte,oc,amer1254,
soβɾe,co,amer1254,
'eɾae̯l,o,amer1254,
'fweɾte,oc,amer1254,
'tɾaɲo,co,amer1254,
'xeɾo̯em,o,amer1254,
'njeɾon,o,amer1254,
lo'ɣɾa,co,amer1254,
aɾao̯,o,amer1254,
'ɣaɾal,o,amer1254,
'xeɾo̯a,o,amer1254,
'taɾse,oc,amer1254,
se'ɾia,o,amer1254,
ðe'ɾa,oca,amer1254,
ðe'ɾo,o,amer1254,
'noɾte,oc,amer1254,
ɡram,co,amer1254,
'fuɾja,oc,amer1254,
peɾo,o,amer1254,
ɣa'ra,ococ,amer1254,
'xeɾo,o,amer1254,
poɾ 'fin,oc,amer1254,
'noɾte̯a,oc,amer1254,
'pɾesa,co,amer1254,
βɾi'ʃo̯el,co,amer1254,
naɾ'ð,oc,amer1254,
'ðoɾ |,ococ,amer1254,
'xeɾo,o,amer1254,
poɾ lo,o,amer1254,
'noɾte,oc,amer1254,
ke reko,oco,amer1254,
no'seɾ la,oc,amer1254,
peɾjo,o,amer1254,
joɾi'ða,o,amer1254,
ˈvʲetsʲer i,oc,cent1954,
spraˈtʃalʲisʲæ,co,cent1954,
vanˈdrownʲika,co,cent1954,
zaˈʁornutaʁa,oc,cent1954,
ˈpʲerʂɨ,o,cent1954,
prɨˈmusʲi̥tsʲ,co,cent1954,
vanˈdrownʲika,co,cent1954,
ˈvʲetsʲer pasdzʲ,oc,cent1954,
vanˈdrownʲik,o,cent1954,
naˈrɛʂtsʲe,o,cent1954,
ˈvʲetsʲer paˈk̟ʲ,oc,cent1954,
ˈsprobɨ,co,cent1954,
ˈʁoratʃa,o,cent1954,
vanˈdrownʲik,co,cent1954,
ˈvʲetsʲer bɨw,oc,cent1954,
prɨˈznatsʲ,oc,cent1954,
utara,o,brun1243,
matahaɾi,o,brun1243,
bəta̠ŋkar |,oc,brun1243,
tjuɾa̠ŋ,o,brun1243,
baɾa,o,brun1243,
djuɹa̠ŋ,a,brun1243,
baratʊʔ,o,brun1243,
utaɾa,o,brun1243,
baɾatu,o,brun1243,
banaɹ dʒu,a,brun1243,
utaɾa,o,brun1243,
matahaɾi,o,brun1243,
mantʃaɹ kwat˺,oc,brun1243,
baɾatu,o,brun1243,
taɾus,o,brun1243,
utaɾa,o,brun1243,
matahaɾi,o,brun1243,
daɾi,o,brun1243,
ðramunˈtana,co,meri1242,
βru,a,meri1242,
ˈfːɔrti,oc,meri1242,
aRiˈbːau,oc,meri1242,
ɔɾi,oc,meri1242,
ˈβrimu,oc,meri1242,
aRenˈneʃʃu,oca,meri1242,
ɔɾi,o,meri1242,
βru,o,meri1242,
ˈfːɔrti,oc,meri1242,
ˈatru,coc,meri1242,
ðramunˈtana,co,meri1242,
βru,co,meri1242,
ˈfːɔrti,oc,meri1242,
ˈβruzu,coc,meri1242,
pru,oc,meri1242,
ɔɾi,o,meri1242,
ðramunˈtana,co,meri1242,
aRinunˈʧau,oca,meri1242,
ˈbːɔrta,oc,meri1242,
ɔɾi,o,meri1242,
ðramunˈtana,co,meri1242,
βru,coc,meri1242,
ˈfːɔrti,oc,meri1242,
ˈnoɾte,oc,cast1244,
poɾˈfjaβan,oc,cast1244,
soβɾe,co,cast1244,
eɾa,a,cast1244,
ˈfweɾte,oc,cast1244,
aθeɾˈto,oc,cast1244,
paˈsaɾ um,o,cast1244,
bjaˈxeɾo̯,o,cast1244,
kombiˈnjeɾon,o,cast1244,
loˈɣɾa,co,cast1244,
aɾa,o,cast1244,
o̯βliˈɣaɾ al,o,cast1244,
βjaˈxeɾo̯,o,cast1244,
kiˈtaɾse,oc,cast1244,
seˈɾia,o,cast1244,
konsiðeˈɾaðo,a,cast1244,
poðeˈroso,o,cast1244,
ˈnoɾte,oc,cast1244,
gɾaɱ,co,cast1244,
ˈfuɾja,oc,cast1244,
ˈpeɾo,o,cast1244,
areβuˈxaβa,ococo,cast1244,
βjaˈxeɾo̯,oc,cast1244,
poɾ ˈfin,oc,cast1244,
ˈnoɾte,oc,cast1244,
e̯mˈpɾesa,co,cast1244,
βɾiˈʎo,co,cast1244,
aɾˈð,oc,cast1244,
ˈðoɾ |,ococ,cast1244,
βjaˈxeɾo,o,cast1244,
poɾ lo,oc,cast1244,
ˈnoɾte,oc,cast1244,
ðe rekono,oco,cast1244,
konoˈθeɾ la,o,cast1244,
supeɾjo,o,cast1244,
oɾiˈða,o,cast1244,
ˈkəɾɪdʲˌamɐ,o,east2379,
d̪əɾaˑ,o,east2379,
ɐŋˈɡəɾəgɐ,o,east2379,
ɪˌkəɭʈɐn̪d̪ˈɔɾɐ,o,east2379,
ɐɾˈpən̪ən̪ən̪ɪ,oc,east2379,
baɾɐ,o,east2379,
ʈɛɾəkɐ,o,east2379,
ˈdəɾɐn̪d̪ɔˑ,o,east2379,
d̪ɔˑɾə,o,east2379,
ˈdəɾɐn̪d̪,o,east2379,
ˈɔˑrɛiˈt,o,east2379,
ɐɾˈpəɳkə,oc,east2379,
ˈɔˑɾɐ,o,east2379,
mɐɾˈtʲə̟ɳə,oc,east2379,
ɐn̪d̪ˈɔɾˌɛ,o,east2379,
ˌɛɾəkə,o,east2379,
ɪpˈaɾpɐn̪,oc,east2379,
ˈɔˑɾə iˑ,o,east2379,
ˈɔˑɾɐ,o,east2379,
ʊˈɾʊm,oca,gayo1244,
utaˈɾaḁ,oca,gayo1244,
utaˈɾaː,oca,gayo1244,
ʊˈɾʊm,oca,gayo1244,
saˈɾaː,o,gayo1244,
saˈɾaː,o,gayo1244,
muɾanˈtoː,o,gayo1244,
ʊɾʊm,oca,gayo1244,
aˈɾiː,oa,gayo1244,
si rɔ̯ˈawaː,co,gayo1244,
|| rəˈɲəl̪ ,caca,gayo1244,
utaˈɾaː ,o,gayo1244,
bəɾəˈmʊs ,oca,gayo1244,
səkəɾa,co,gayo1244,
askrasˑˈe̝ː,co,gayo1244,
ˈkras,co,gayo1244,
bərˈmʊs,ococ,gayo1244,
ˈkras,co,gayo1244,
muˈɾanto,o,gayo1244,
ahɛˈɾɛː,oco,gayo1244,
utaˈɾaː,o,gayo1244,
pɔˈɾak,oca,gayo1244,
rəˈɲəː,coca,gayo1244,
muɾanˈtoa,o,gayo1244,
|| rəˈɲəl̪,cocaca,gayo1244,
utaˈɾaː,oca,gayo1244,
utaɾaˈwaː,o,gayo1244,
ipàr ai̯s̻éaǀ,oco,basq1248,
ipàr ai̯s̻éaǀ,oco,basq1248,
indàrts̺una,oc,basq1248,
iβ́ltaɾi,o,basq1248,
ʔeɾ̞áβakʲ(i),o,basq1248,
indàrts̺una,oc,basq1248,
iβílʲtaɾi,oc,basq1248,
iɾi,oc,basq1248,
ʔau̯réna,ococo,basq1248,
ʔórdun,oc,basq1248,
ipar ais̻ék ,oco,basq1248,
b̥eɾ̞̀ íɲal,o,basq1248,
fu̯érteo,oc,basq1248,
taɾik,o,basq1248,
órðun,oco,basq1248,
beɾé,a,basq1248,
kàpaɾi̻ ǁ,o,basq1248,
ipàr ais̻ék,oco,basq1248,
beɾ̞aléi̯,o,basq1248,
géɾ̞o,o,basq1248,
