LanguageId,LanguageName,Latitude,Longitude,WordId,WordModernName1,WordModernName2,WordProtoName1,WordProtoName2,Phonetic,SpellingAltv1,SpellingAltv2,NotCognateWithMainWordInThisFamily
48741151109,"V’ënen Taute: Alpalak",-15.99722,167.1825,6330,thatch,tatj,tatj,,ne-ɛt,,,0
48741151109,"V’ënen Taute: Alpalak",-15.99722,167.1825,6510,house,haos,haos,,nə-max,,,0
48741151109,"V’ënen Taute: Alpalak",-15.99722,167.1825,6620,rope,rop,rop,,na-xao,,,0
48741151109,"V’ënen Taute: Alpalak",-15.99722,167.1825,6810,road,rod,rod,,na-vanɛl,,,0
48741153209,"V’ënen Taute: Benenavet",-16.02038,167.17671,6330,thatch,tatj,tatj,,neɛt,,,0
48741153209,"V’ënen Taute: Benenavet",-16.02038,167.17671,6510,house,haos,haos,,nəmax,,,0
48741153209,"V’ënen Taute: Benenavet",-16.02038,167.17671,6620,rope,rop,rop,,naɣao,,,0
48741153209,"V’ënen Taute: Benenavet",-16.02038,167.17671,6810,road,rod,rod,,nɛvɛnɛl,,,0
48741155209,"V’ënen Taute: Benmara",-16.05552,167.23261,6330,thatch,tatj,tatj,,ne-jɛð̼,,,0
48741155209,"V’ënen Taute: Benmara",-16.05552,167.23261,6510,house,haos,haos,,nə-max,,,0
48741155209,"V’ënen Taute: Benmara",-16.05552,167.23261,6620,rope,rop,rop,,na-ɣao,,,0
48741155209,"V’ënen Taute: Benmara",-16.05552,167.23261,6810,road,rod,rod,,na-vanɛð̼,,,0
48741157409,"V’ënen Taute: Unmet",-16.15371,167.26022,6330,thatch,tatj,tatj,,ne-ɛt,,,0
48741157409,"V’ënen Taute: Unmet",-16.15371,167.26022,6510,house,haos,haos,,nə-max,,,0
48741157409,"V’ënen Taute: Unmet",-16.15371,167.26022,6620,rope,rop,rop,,na-xao,,,0
48741157409,"V’ënen Taute: Unmet",-16.15371,167.26022,6810,road,rod,rod,,na-vanɛl,,,0
48741158409,"V’ënen Taute: Hamax",-16.111,167.249,6330,thatch,tatj,tatj,,ne-ɛt,,,0
48741158409,"V’ënen Taute: Hamax",-16.111,167.249,6510,house,haos,haos,,nə-max,,,0
48741158409,"V’ënen Taute: Hamax",-16.111,167.249,6620,rope,rop,rop,,na-ɣao,,,0
48741158409,"V’ënen Taute: Hamax",-16.111,167.249,6810,road,rod,rod,,nɛ-vɛnɛl,,,0
48741322109,"Espiegel’s Bay: Solwota",-15.979,167.192,6330,thatch,tatj,tatj,,roat,,,0
48741322109,"Espiegel’s Bay: Solwota",-15.979,167.192,6510,house,haos,haos,,na-im,,,0
48741322109,"Espiegel’s Bay: Solwota",-15.979,167.192,6620,rope,rop,rop,,nɪ-mɛrɪt,,,0
48741322109,"Espiegel’s Bay: Solwota",-15.979,167.192,6810,road,rod,rod,,ⁿt͡sal,,,0
48741324209,"Espiegel’s Bay: Litebral",-15.974,167.193,6330,thatch,tatj,tatj,,roat,,,0
48741324209,"Espiegel’s Bay: Litebral",-15.974,167.193,6510,house,haos,haos,,na-im,,,0
48741324209,"Espiegel’s Bay: Litebral",-15.974,167.193,6620,rope,rop,rop,,nɪ-mɛrɪt,,,0
48741324209,"Espiegel’s Bay: Litebral",-15.974,167.193,6810,road,rod,rod,,ⁿʒal,,,0
48741324309,"Espiegel’s Bay: Unspecified",-15.98228,167.19103,6330,thatch,tatj,tatj,,roat,,,0
48741324309,"Espiegel’s Bay: Unspecified",-15.98228,167.19103,6510,house,haos,haos,,na-im,,,0
48741324309,"Espiegel’s Bay: Unspecified",-15.98228,167.19103,6620,rope,rop,rop,,nɪ-mɛrɪt,,,0
48741324309,"Espiegel’s Bay: Unspecified",-15.98228,167.19103,6810,road,rod,rod,,ⁿʒorsal,,,0
48741326309,"Malua Bay: Coast",-15.98334,167.18798,6330,thatch,tatj,tatj,,ruat,,,0
48741326309,"Malua Bay: Coast",-15.98334,167.18798,6510,house,haos,haos,,ne-im,,,0
48741326309,"Malua Bay: Coast",-15.98334,167.18798,6620,rope,rop,rop,,nɪ-marɪt,,,0
48741326309,"Malua Bay: Coast",-15.98334,167.18798,6810,road,rod,rod,,ⁿʒal,,,0
48741327409,"Malua Bay: Petarmul",-16.00022,167.22137,6330,thatch,tatj,tatj,,ruat,,,0
48741327409,"Malua Bay: Petarmul",-16.00022,167.22137,6510,house,haos,haos,,ne-im,,,0
48741327409,"Malua Bay: Petarmul",-16.00022,167.22137,6620,rope,rop,rop,,nɪ-marɪt,,,0
48741327409,"Malua Bay: Petarmul",-16.00022,167.22137,6810,road,rod,rod,,ⁿzal,,,0
48741328309,"Malua Bay: Tiptir",-15.9905,167.21991,6330,thatch,tatj,tatj,,roat,,,0
48741328309,"Malua Bay: Tiptir",-15.9905,167.21991,6510,house,haos,haos,,na-im,,,0
48741328309,"Malua Bay: Tiptir",-15.9905,167.21991,6620,rope,rop,rop,,nɪ-mɛrɪt,,,0
48741328309,"Malua Bay: Tiptir",-15.9905,167.21991,6810,road,rod,rod,,..,,,0
48741328409,"Malua Bay: Marasup",-15.99098,167.2198,6330,thatch,tatj,tatj,,ni-at,,,0
48741328409,"Malua Bay: Marasup",-15.99098,167.2198,6510,house,haos,haos,,na-im,,,0
48741328409,"Malua Bay: Marasup",-15.99098,167.2198,6620,rope,rop,rop,,marit,,,0
48741328409,"Malua Bay: Marasup",-15.99098,167.2198,6810,road,rod,rod,,ⁿzal,,,0
48741345109,"Najit: Tanmial",-15.94786,167.18226,6330,thatch,tatj,tatj,,ruat,,,0
48741345109,"Najit: Tanmial",-15.94786,167.18226,6510,house,haos,haos,,na-im,,,0
48741345109,"Najit: Tanmial",-15.94786,167.18226,6620,rope,rop,rop,,nɪ-mɛrɪt,,,0
48741345109,"Najit: Tanmial",-15.94786,167.18226,6810,road,rod,rod,,ⁿʒal,,,0
48741365109,"Nese: Tanmial",-15.9305,167.17653,6330,thatch,tatj,tatj,,no-riat,,,0
48741365109,"Nese: Tanmial",-15.9305,167.17653,6510,house,haos,haos,,na-ine,,,0
48741365109,"Nese: Tanmial",-15.9305,167.17653,6620,rope,rop,rop,,na-narte,,,0
48741365109,"Nese: Tanmial",-15.9305,167.17653,6810,road,rod,rod,,na-sal,,,0
48741367209,"Nese: Sanboise",-15.91461,167.17833,6330,thatch,tatj,tatj,,no-roiat,,,0
48741367209,"Nese: Sanboise",-15.91461,167.17833,6510,house,haos,haos,,ne-mak,,,0
48741367209,"Nese: Sanboise",-15.91461,167.17833,6620,rope,rop,rop,,na-narte,,,0
48741367209,"Nese: Sanboise",-15.91461,167.17833,6810,road,rod,rod,,na-sal,,,0
48741556509,"Vao: Beetehul",-15.89728,167.30443,6330,thatch,tatj,tatj,,ni-at,,,0
48741556509,"Vao: Beetehul",-15.89728,167.30443,6510,house,haos,haos,,ne-ɪmɛ,,,0
48741556509,"Vao: Beetehul",-15.89728,167.30443,6620,rope,rop,rop,,nu-ɛh,,,0
48741556509,"Vao: Beetehul",-15.89728,167.30443,6810,road,rod,rod,,..,,,0
48741557509,"Vao: Canada",-15.89978,167.30731,6330,thatch,tatj,tatj,,ni-at,,,0
48741557509,"Vao: Canada",-15.89978,167.30731,6510,house,haos,haos,,ne-ɪmɛ,,,0
48741557509,"Vao: Canada",-15.89978,167.30731,6620,rope,rop,rop,,nu-ɛh,,,0
48741557509,"Vao: Canada",-15.89978,167.30731,6810,road,rod,rod,,na-hal,,,0
48741557609,"Vao: Peteri",-15.89887,167.3051,6330,thatch,tatj,tatj,,ni-at,,,0
48741557609,"Vao: Peteri",-15.89887,167.3051,6510,house,haos,haos,,ne-me,,,0
48741557609,"Vao: Peteri",-15.89887,167.3051,6620,rope,rop,rop,,nu-ɛh,,,0
48741557609,"Vao: Peteri",-15.89887,167.3051,6810,road,rod,rod,,na-hal,,,0
48741557709,"Vao: Torono",-15.89986,167.30819,6330,thatch,tatj,tatj,,ni-at,,,0
48741557709,"Vao: Torono",-15.89986,167.30819,6510,house,haos,haos,,ne-ɪmɛ,,,0
48741557709,"Vao: Torono",-15.89986,167.30819,6620,rope,rop,rop,,nu-ɛh,,,0
48741557709,"Vao: Torono",-15.89986,167.30819,6810,road,rod,rod,,na-hal,,,0
48741733509,"Tirax: Botmelesnial",-16.0583,167.369,6330,thatch,tatj,tatj,,ni-at,,,0
48741733509,"Tirax: Botmelesnial",-16.0583,167.369,6510,house,haos,haos,,nain,,,0
48741733509,"Tirax: Botmelesnial",-16.0583,167.369,6620,rope,rop,rop,,na-rit,,,0
48741733509,"Tirax: Botmelesnial",-16.0583,167.369,6810,road,rod,rod,,na-hal,,,0
48741733609,"Tirax: Mae",-16.05839,167.36953,6330,thatch,tatj,tatj,,ni-at,,,0
48741733609,"Tirax: Mae",-16.05839,167.36953,6510,house,haos,haos,,na-in,,,0
48741733609,"Tirax: Mae",-16.05839,167.36953,6620,rope,rop,rop,,na-rit,,,0
48741733609,"Tirax: Mae",-16.05839,167.36953,6810,road,rod,rod,,na-hal,,,0
48741735809,"Tirax: Bethel",-16.03923,167.40186,6330,thatch,tatj,tatj,,ni-at,,,0
48741735809,"Tirax: Bethel",-16.03923,167.40186,6510,house,haos,haos,,na-in,,,0
48741735809,"Tirax: Bethel",-16.03923,167.40186,6620,rope,rop,rop,,na-rit,,,0
48741735809,"Tirax: Bethel",-16.03923,167.40186,6810,road,rod,rod,,na-hal,,,0
48741736409,"Tirax: Olamb",-15.98701,167.26154,6330,thatch,tatj,tatj,,ni-at,,,0
48741736409,"Tirax: Olamb",-15.98701,167.26154,6510,house,haos,haos,,na-in,,,0
48741736409,"Tirax: Olamb",-15.98701,167.26154,6620,rope,rop,rop,,na-rit,,,0
48741736409,"Tirax: Olamb",-15.98701,167.26154,6810,road,rod,rod,,na-hal,,,0
48741736509,"Tirax: Bakru",-16.00354,167.29696,6330,thatch,tatj,tatj,,ni-at,,,0
48741736509,"Tirax: Bakru",-16.00354,167.29696,6510,house,haos,haos,,na-in,,,0
48741736509,"Tirax: Bakru",-16.00354,167.29696,6620,rope,rop,rop,,na-rit,,,0
48741736509,"Tirax: Bakru",-16.00354,167.29696,6810,road,rod,rod,,na-hal,,,0
48741737809,"Tirax: Orap",-15.97,167.34464,6330,thatch,tatj,tatj,,ni-at,,,0
48741737809,"Tirax: Orap",-15.97,167.34464,6510,house,haos,haos,,na-in,,,0
48741737809,"Tirax: Orap",-15.97,167.34464,6620,rope,rop,rop,,na-rit,,,0
48741737809,"Tirax: Orap",-15.97,167.34464,6810,road,rod,rod,,na-hal,,,0
48741752709,"Atchin: Orap",-15.9156,167.30641,6330,thatch,tatj,tatj,,ni-at,,,0
48741752709,"Atchin: Orap",-15.9156,167.30641,6510,house,haos,haos,,ne-im,,,0
48741752709,"Atchin: Orap",-15.9156,167.30641,6620,rope,rop,rop,,na,,,0
48741752709,"Atchin: Orap",-15.9156,167.30641,6810,road,rod,rod,,ⁿt͡sɛl,,,0
48741752809,"Atchin: Small Island",-15.9439,167.33993,6330,thatch,tatj,tatj,,ni-at,,,0
48741752809,"Atchin: Small Island",-15.9439,167.33993,6510,house,haos,haos,,ne-m,,,0
48741752809,"Atchin: Small Island",-15.9439,167.33993,6620,rope,rop,rop,,na,,,0
48741752809,"Atchin: Small Island",-15.9439,167.33993,6810,road,rod,rod,,ni-sɛl,,,0
48741754509,"Wala: Botku",-15.96841,167.29246,6330,thatch,tatj,tatj,,ni-at,,,0
48741754509,"Wala: Botku",-15.96841,167.29246,6510,house,haos,haos,,na-im,,,0
48741754509,"Wala: Botku",-15.96841,167.29246,6620,rope,rop,rop,,ⁿtel,,,0
48741754509,"Wala: Botku",-15.96841,167.29246,6810,road,rod,rod,,..,,,0
48741754709,"Wala: Worprev",-15.97775,167.37656,6330,thatch,tatj,tatj,,ne-reat,,,0
48741754709,"Wala: Worprev",-15.97775,167.37656,6510,house,haos,haos,,ni-um,,,0
48741754709,"Wala: Worprev",-15.97775,167.37656,6620,rope,rop,rop,,na-ɣao,,,0
48741754709,"Wala: Worprev",-15.97775,167.37656,6810,road,rod,rod,,nɪ-sal,,,0
48741754809,"Wala: Petreros",-15.97544,167.37627,6330,thatch,tatj,tatj,,ni-at,,,0
48741754809,"Wala: Petreros",-15.97544,167.37627,6510,house,haos,haos,,na-im,,,0
48741754809,"Wala: Petreros",-15.97544,167.37627,6620,rope,rop,rop,,ⁿdɪl,,,0
48741754809,"Wala: Petreros",-15.97544,167.37627,6810,road,rod,rod,,nɪ-sɛlɛ,,,0
48741754909,"Wala: Preng",-15.97342,167.37627,6330,thatch,tatj,tatj,,ni-at,,,0
48741754909,"Wala: Preng",-15.97342,167.37627,6510,house,haos,haos,,na-im,,,0
48741754909,"Wala: Preng",-15.97342,167.37627,6620,rope,rop,rop,,ⁿdel,,,0
48741754909,"Wala: Preng",-15.97342,167.37627,6810,road,rod,rod,,sɛl,,,0
48741756709,"Rano: Twalung",-15.98389,167.38444,6330,thatch,tatj,tatj,,ni-at,,,0
48741756709,"Rano: Twalung",-15.98389,167.38444,6510,house,haos,haos,,na-im,,,0
48741756709,"Rano: Twalung",-15.98389,167.38444,6620,rope,rop,rop,,ⁿdɪl,,,0
48741756709,"Rano: Twalung",-15.98389,167.38444,6810,road,rod,rod,,sɛl,,,0
48741756809,"Rano: Potora",-15.98472,167.3866,6330,thatch,tatj,tatj,,ni-at,,,0
48741756809,"Rano: Potora",-15.98472,167.3866,6510,house,haos,haos,,na-im,,,0
48741756809,"Rano: Potora",-15.98472,167.3866,6620,rope,rop,rop,,ⁿdɛl,,,0
48741756809,"Rano: Potora",-15.98472,167.3866,6810,road,rod,rod,,sɛl,,,0
48741756909,"Rano: Chinambong",-15.99049,167.39063,6330,thatch,tatj,tatj,,ni-at,,,0
48741756909,"Rano: Chinambong",-15.99049,167.39063,6510,house,haos,haos,,na-im,,,0
48741756909,"Rano: Chinambong",-15.99049,167.39063,6620,rope,rop,rop,,ⁿdɛl,,,0
48741756909,"Rano: Chinambong",-15.99049,167.39063,6810,road,rod,rod,,sɛlɛ,,,0
48741757609,"Uripiv: Tautu Village",-16.06661,167.3975,6330,thatch,tatj,tatj,,ni-at,,,0
48741757609,"Uripiv: Tautu Village",-16.06661,167.3975,6510,house,haos,haos,,na-im,,,0
48741757609,"Uripiv: Tautu Village",-16.06661,167.3975,6620,rope,rop,rop,,ⁿdɛl,,,0
48741757609,"Uripiv: Tautu Village",-16.06661,167.3975,6810,road,rod,rod,,sɛl,,,0
48741758709,"Uripiv: Tautu",-16.06778,167.40111,6330,thatch,tatj,tatj,,ni-at,,,0
48741758709,"Uripiv: Tautu",-16.06778,167.40111,6510,house,haos,haos,,na-im,,,0
48741758709,"Uripiv: Tautu",-16.06778,167.40111,6620,rope,rop,rop,,ⁿdɛl,,,0
48741758709,"Uripiv: Tautu",-16.06778,167.40111,6810,road,rod,rod,,sɛl,,,0
48741758809,"Uripiv: Durpif",-16.07265,167.447,6330,thatch,tatj,tatj,,ni-at,,,0
48741758809,"Uripiv: Durpif",-16.07265,167.447,6510,house,haos,haos,,na-im,,,0
48741758809,"Uripiv: Durpif",-16.07265,167.447,6620,rope,rop,rop,,ⁿdil,,,0
48741758809,"Uripiv: Durpif",-16.07265,167.447,6810,road,rod,rod,,sɛl,,,0
48741758909,"Uripiv: Potnambe",-16.07391,167.45203,6330,thatch,tatj,tatj,,ni-at,,,0
48741758909,"Uripiv: Potnambe",-16.07391,167.45203,6510,house,haos,haos,,na-im,,,0
48741758909,"Uripiv: Potnambe",-16.07391,167.45203,6620,rope,rop,rop,,ⁿdil,,,0
48741758909,"Uripiv: Potnambe",-16.07391,167.45203,6810,road,rod,rod,,..,,,0
48741953109,"Wowo: Lesarmalas",-15.90733,167.17927,6330,thatch,tatj,tatj,,nɛ-ɾeat,,,0
48741953109,"Wowo: Lesarmalas",-15.90733,167.17927,6510,house,haos,haos,,ne-man,,,0
48741953109,"Wowo: Lesarmalas",-15.90733,167.17927,6620,rope,rop,rop,,na-narte,,,0
48741953109,"Wowo: Lesarmalas",-15.90733,167.17927,6810,road,rod,rod,,na-hal,,,0
48741954109,"Wowo: Wowo",-15.90224,167.18459,6330,thatch,tatj,tatj,,nɛ-riat,,,0
48741954109,"Wowo: Wowo",-15.90224,167.18459,6510,house,haos,haos,,ne-me,,,0
48741954109,"Wowo: Wowo",-15.90224,167.18459,6620,rope,rop,rop,,na-narte,,,0
48741954109,"Wowo: Wowo",-15.90224,167.18459,6810,road,rod,rod,,na-hal,,,0
48741956109,"Alavas: Wowo",-15.90293,167.18499,6330,thatch,tatj,tatj,,ne-reat,,,0
48741956109,"Alavas: Wowo",-15.90293,167.18499,6510,house,haos,haos,,ne-mak,,,0
48741956109,"Alavas: Wowo",-15.90293,167.18499,6620,rope,rop,rop,,na-narte,,,0
48741956109,"Alavas: Wowo",-15.90293,167.18499,6810,road,rod,rod,,..,,,0
48741957109,"Alavas: Alavas",-15.89046,167.24151,6330,thatch,tatj,tatj,,nɛ-ɾeat,,,0
48741957109,"Alavas: Alavas",-15.89046,167.24151,6510,house,haos,haos,,ne͡-ime,,,0
48741957109,"Alavas: Alavas",-15.89046,167.24151,6620,rope,rop,rop,,na-narte,,,0
48741957109,"Alavas: Alavas",-15.89046,167.24151,6810,road,rod,rod,,na-hal,,,0
