LanguageId,LanguageName,Latitude,Longitude,WordId,WordModernName1,WordModernName2,WordProtoName1,WordProtoName2,Phonetic,SpellingAltv1,SpellingAltv2,NotCognateWithMainWordInThisFamily
53201000009,Abun,-0.57,132.42,5010,day,,,,kan,,,0
53201000009,Abun,-0.57,132.42,5020,night,,,,nɔɾu,,,0
53801000009,Irires,-0.6051,132.4896,5010,day,,,,mɔdan,,,0
53801000009,Irires,-0.6051,132.4896,5020,night,,,,mɔt,,,0
53801000009,Irires,-0.6051,132.4896,510,year,,,,mahɔi,,,0
53601000009,Miyah,-0.76268,132.57953,5010,day,,,,ajwɔ,,,0
53601000009,Miyah,-0.76268,132.57953,5020,night,,,,ɛti,,,0
53601000009,Miyah,-0.76268,132.57953,510,year,,,,aɾmɛnaŋɡwaɾah,,,0
53301000009,Mpur,-0.5,133.17,5010,day,,,,put,,,0
53301000009,Mpur,-0.5,133.17,5020,night,,,,dim,,,0
53301000009,Mpur,-0.5,133.17,510,year,,,,man,,,0
53121400009,"W. Bomberai: Iha",-2.81,132.27,5010,day,,,,wɛŋwɛŋɡah,,,0
53121400009,"W. Bomberai: Iha",-2.81,132.27,5020,night,,,,nah,,,0
53121400009,"W. Bomberai: Iha",-2.81,132.27,510,year,,,,jat,,,0
52331605509,"Mek W.: Nalca",-4.26,139.88,5010,day,,,,jubjek,,,0
52331605509,"Mek W.: Nalca",-4.26,139.88,5020,night,,,,inɪmek,,,0
52331605509,"Mek W.: Nalca",-4.26,139.88,510,year,,,,kipna,,,0
52241505509,Mee,-3.89,136.02,5010,day,,,,aʀapi,,,0
52241505509,Mee,-3.89,136.02,5020,night,,,,wane,,,0
52241505509,Mee,-3.89,136.02,510,year,,,,ibonaɽo,,,0
56211575509,Ambel,-0.18,130.92,5010,day,,,,naintatapɔn,,,0
56211575509,Ambel,-0.18,130.92,5020,night,,,,ɡam,,,0
56211575509,Ambel,-0.18,130.92,510,year,,,,-..,,,0
56231232209,"Yapen: Wooi",-1.63,135.48,5010,day,,,,ɾaɾia,,,0
56231232209,"Yapen: Wooi",-1.63,135.48,5020,night,,,,cuɾu,,,0
56231232209,"Yapen: Wooi",-1.63,135.48,510,year,,,,puɾia,,,0
56231262309,"Yapen: Poom",-1.64,135.62,5010,day,,,,hⁿahaɾ,,,0
56231262309,"Yapen: Poom",-1.64,135.62,5020,night,,,,ɾoβi,,,0
56231262309,"Yapen: Poom",-1.64,135.62,510,year,,,,pjuɾiha,,,0
56231233509,Ansus,-1.73,135.81,5010,day,,,,ɾaida,,,0
56231233509,Ansus,-1.73,135.81,5020,night,,,,diɾu,,,0
56231233509,Ansus,-1.73,135.81,510,year,,,,taumi,,,0
56231422709,Biak,-0.95,135.88,5010,day,,,,meseɾ,,,0
56231422709,Biak,-0.95,135.88,5020,night,,,,ɾob,,,0
56261005509,Waropen,-2.31,136.63,5010,day,,,,ɔɾasa,,,0
56261005509,Waropen,-2.31,136.63,5020,night,,,,ɔɾamɔ,,,0
56261005509,Waropen,-2.31,136.63,510,year,,,,ea,,,0
