	Language	ISO_code	Phoible_code	R_type	revision	Phonology
1	Azeerbaijani	aze	azj	no trill	trilled	gemination; position; flap; fricative; approximant; elision; vibrant; sonant; trill
2	Estonian	est	est	NA	trilled	trill; palatalization; devoising; gradation
3	Basque	eus	eus	mixed with trill	OUT	flap; trill; neutralization; initial; restriction; approximant; fricative; flapping; rhotic; alternation; palatalization
4	Finnish	fin	fin	trill	trilled	rhotic; trill; tap; position; gemination; fricative; uvular; approximant; restriction
5	Haitian Creole	hat	hat	NA	OUT	fricative
6	Indonesian	ind	ind	trill	trilled	flap; trill; position; elision; alternation; approximant; variation; prothetic
7	Hebrew	heb	heb	no rhotic	trilled	uvular; trill; rarity; flap; approximant; fricative
8	Georgian	kat	kat	trill	trilled	flap; elision; devoising; sonant; trill
9	Kazakh	kaz	kaz	NA	trilled	flap; trill; position; tap; prothetic; liquid 
10	Mongolian	mon	khk	trill	trilled	vibrant; palatalization; flap; fricative; variation; trill; roll; restriction; initial; prothetic
11	Malay	mly	zsm	trill	trilled	trill; tap; position; variation; emphatic; uvular; fricative; approximant
12	Maltese	mlt	mlt	trill	trilled	trill; gemination; resonant; alternation; variation; position
13	Sundanese	sun	sun	no trill	trilled	liquid; flap; trill; contrast
14	Tagalog (Filipino)	tgl	tgl	no trill	trilled	tap; trill; emphatic; contrast; alternation; rhotic; variation; approximant
15	Turkish	tur	tur	trill	other	tap; elision; gemination; restriction; initial; roll; devoising
16	Uzbek	uzb	uzn	no trill	other	sonant; flap; palatalization; gemination; assimilation; epenthetic; liquid
17	Vietnamese	vie	vie	no rhotic	OUT	flap; trill; fricative; rhotic; lateral; retroflex
18	Pitta-Pitta	pit	pit	trill	OUT	rhotic; flap; trill; retroflex; approximant; initial
19	Wangkayutyuru	wnm	wnm	no trill	OUT	rhotic; flap; trill; retroflex; approximant; initial
20	Gupapuyngu	guf	guf	trill	other	tap; retroflex; approximant; flapping
21	Ritharrngu	rit	rit	trill	other	rhotic; flap; retroflex; approximant; hardening; alternation
22	Djinang	dji	dji	NA	OUT	rhotic; trill; retroflex; approximant; contrast; flap; variation; gemination; sonorant
23	Adnyamathanha	adt	adt	NA	OUT	flap; trill; approximant; retroflex
24	Woiwurrung	wyi	wyi	trill	NA	NA
25	Yugambeh	yub	yub	NA	other	resonant; trill; flap; retroflex; continuant; vibrant; contrast; initial; restriction; rhotic
26	Buwandik	xbg	xbg	NA	other	rhotic; flap; trill; glide; initial; restriction
27	Wulguru	qgu	qgu	no trill	OUT	rhotic; trill; approximant; initial; restriction
28	Awabakal	awk	awk	NA	OUT	trill; roll; continuant; initial; restriction
29	Bidjara-Gungabula	gyy	gyy	NA	other	trill; glide; tap; retroflex; initial; restriction; devoising; variation
30	Ng'goi Mwoi	NA	NA	trill	NA	NA
31	Jiwarli	djl	djl	NA	OUT	glide; flap; roll
32	Yidiny	yii	yii	mixed with trill	OUT	trill; rhotic; retroflex; continuant; tap
33	Warrnambool	gjm	gjm	no trill	OUT	trill; flap; glide; initial; restriction
34	Yuwaaliyaay	kld	kld	NA	OUT	tap; rhotic; retroflex; trill; approximant; initial; restriction; variation; lateral; glide; emphatic; elision; alternation
35	Gamilaraay	kld	kld	NA	OUT	tap; rhotic; retroflex; trill; approximant; initial; restriction; variation; lateral; glide; emphatic; elision; alternation
36	Yuwaalaraay	kld	kld	NA	OUT	tap; rhotic; retroflex; trill; approximant; initial; restriction; variation; lateral; glide; emphatic; elision; alternation; flap; contrast
37	Bardi	bcj	bcj	mixed with trill	OUT	rhotic; sonorant; retroflex; trill; glide; contrast; tap; palatalization; variation; initial; restriction
38	Guugu-Yimidhirr	kky	kky	NA	OUT	rhotic; flap; trill; emphatic; retroflex; contrast; initial; restriction; elision; glide
39	Burarra	bvr	bvr	no trill	OUT	flap; vocoid; contrast; retroflex; trill; hardening
40	Djapu	duj	duj	mixed with trill	OUT	liquid; rhotic; flap; tap; trill; retroflex; continuant; initial; restriction
41	Bandjalang	bdy	bdy	trill	trilled	flap; approximant; trill; resonant; continuant; position
42	Gbaya	gbp	gbp	no trill	other	flap; continuant; trill; devoising; variation; lateral
43	Maʼdi	mhi	mhi	trill	trilled	roll; flap; retroflex; gemination; trill; contrast; labialization
44	Timne	tem	tem	trill	trilled	roll; variation; position; neutralization; trill; liquid
45	Kabiyè	kbp	kbp	trill	OUT	trill; tap; position; vibrant; devoising; hardening
46	Mandinka	mnk	mnk	trill	trilled	initial; restriction; vibrant; alternation
47	Lezgian	lez	NA	trill	trilled	liquid; position; devoising; sonorant; elision; trembling
48	Abkhaz	abk	NA	trill	trilled	resonant; hardening; trill; roll; tap
49	Laz	lzz	lzz	no trill	other	semivowel; approximant; elision; alternation; epenthetic; assimilation; dissimilation
50	Megrelian	xmf	xmf	trill	trilled	tap; trill
51	Kamayurá	kay	kay	no trill	other	sonorant; vibrant; tap; nasalization; contrast; initial; restriction; alternation; devoising; flap
52	Chepang	cdm	cdm	trill	other	trill; flap; liquid; devoising; position
53	Gurung	ggn; gvr	NA	trill	trilled	trill; position
54	Sunwar	klr	NA	trill	NA	NA
55	Magar	mgp	NA	no trill	other	rhotic; devoising; approximant; contrast; prothetic; tap; flapping; initial
56	Sunwar	suz	NA	trill	other	flap; position; trill
57	Tamang (Sahu)	taj	taj	trill	other	trill; retroflex; continuant; flap
58	Bambara	bam	bam	no trill	other	tap; contrast; prothetic
59	Bangime	dba	NA	no trill	other	sonorant; nasalization; tap; approximant; initial; restriction
60	Bunoge	dgb	NA	no trill	other	liquid; tap; sonorant; nasalization; gemination; assimilation; hardening
61	Fulfulde	ffm	ffm	trill	trilled	vibrant
62	Jamsay	djm	djm	trill	OUT	sonorant; nasalization; initial; restriction; trill; contrast; metathesis; rhotic; dissimilation; assimilation; alternation
63	Tebul_Ure	dtu	NA	trill	NA	trill; sonorant; nasalization; alternation; assimilation
64	Togo_Kan	dtm	NA	no trill	other	tap; nasalization; rhotic; sonorant
65	Tommo_So	dto	NA	no trill	other	initial; restriction; contrast; tap; gemination; dissimilation; alternation; epenthetic; sonorant
66	Songhai_Kiini	khq	khq	trill	other	tap; assimilation
67	Kamsá	kbh	kbh	no trill	other	vibrant; contrast; position; flap; liquid; fricative; retroflex
68	Achagua	aca	aca	no trill	other	fricative; vibrant; contrast; lateral; flap; initial
69	Awa	kwi	kwi	no trill	OUT	position; vibrant; contrast; flap; initial; restriction
70	Bora	boa	boa	no trill	other	resonant; palatalization; flap; position
71	Barí	mot	mot	trill	trilled	vibrant; flap; nasalization; trill; restriction
72	Bará	bao	bao	no trill	other	flap; nasalization; lateral; position
73	Guahibo	guh	guh	trill	other	fricative; retroflex; trill; flap; variation
74	Barasana	bsn	bsn	no trill	other	flap; nasalization
75	Guambiano	gum	gum	no trill	other	vibrant; neutralization; fricative; assimilation; initial; restriction; trill; position
76	Macuna	myy	myy	no trill	other	vibrant; contrast; nasalization; lateral; flap; position
77	Chimila	cbg	cbg	no trill	other	flap
78	Guayabero	guo	guo	no trill	other	liquid; vibrant; contrast; flap; palatalization; trill; devoising
79	Carapana	cbc	cbc	trill	other	vibrant; nasalization; lateral; position; flap
80	Curripaco	kpc	kpc	no trill	other	tap; aspiration; trill; retroflex; fricative; sonant; vibrant; flap; lateral; approximant
81	Ika	arh	arh	no trill	other	flap; hardening; denasalization; vibrant
82	Catío	cto	cto	trill	OUT	vibrant; prothetic; initial; restriction
83	Cubeo	cub	cub	no trill	other	flap; nasalization; lateral; position; contrast; hardening; tap; initial; restriction; neutralization; sonorant; alternation; vibrant; variation
84	Muinane	bmr	bmr	no trill	trilled	trill; palatalization; vibrante; resonant
85	Inga	inb	inb	no trill	other	vibrant; epenthetic; retroflex; trill; flap; position
86	Nukak	mbr	mbr	no trill	other	vibrant; contrast; nasalization; lateral; flap; tap
87	Jitnu	mbn	mbn	no trill	trilled	vibrant; tap; trill; position; contrast
88	Koreguaje	coe	coe	no trill	other	vibrant; continuant; contrast; labialization; retroflex; position
89	Páez	pbb	pbb	no trill	OUT	vibrant; lateral; palatalization
90	Witoto Mi̵ni̵ca	hto	hto	no trill	other	vibrant; contrast
91	Witoto Ni̵pode	hux	NA	no trill	other	vibrant; contrast
92	Piratapuyo	pir	pir	no trill	other	vibrant; initial; restriction; contrast; lateral; nasalization; flap; hardening
93	Playero	gob	NA	trill	other	fricative; retroflex; trill; flap; variation
94	Witoto Murui	huu	huu	no trill	other	flap; position; contrast
95	Ocaina	oca	oca	no trill	other	flap; initial; restriction
96	Siriano	sri	sri	no trill	other	continuant; contrast; nasalization; flap; lateral; position; vibrant
97	Tatuyo	tav	tav	no trill	other	vibrant; contrast; flap; retroflex; variation; nasalization
98	Tucano	tuo	tuo	no trill	other	vibrant; contrast; nasalization; lateral; initial; restriction; flap; 
99	Tanimuca	tnc	tnc	no trill	other	continuant; vibrant; nasalization; contrast
100	Tunebo Central	tuf	tuf	trill	other	plosive; dissimilation
101	Tariano	tae	tae	no trill	other	flap; liquid; initial; restriction; hardening; alternation; dissimilation
102	Totoró	ttk	NA	trill	other	trill; tap; position
103	Tuyuca	tue	tue	no trill	other	vibrant; contrast; nasalization; lateral; position; initial; restriction
104	Wanano	gvc	gvc	no trill	other	flap; nasalization; alternation; initial; restriction; position; variation
105	Yucuna	ycn	ycn	no trill	other	flap; lateral; tap; aspiration; initial; elision; approximant
106	Yukpa	yup	yup	no trill	other	flap; contrast; sonorant; continuant; position; trill; lateral; uvular; variation; vibrant
107	Yurutí	yui	yui	no trill	other	vibrant; liquid; contrast; flap
108	Andi	ani	NA	trill	NA	sonorant; gemination
109	Akhvakh (Northern dialect)	akv	NA	trill	NA	sonorant; neutralization
110	Karata	kpt	NA	trill	NA	sonorant
111	Khwarshi (Khwarshi dialect)	khv	NA	trill	NA	resonant; liquid
112	Hinuq	gin	NA	trill	NA	liquid; geminate
113	Chamalal	cji	NA	trill	NA	sonorant; liquid
114	Hunzib	huz	NA	trill	NA	resonant; contrast; variation; position
115	Lak	lbe	lbe	trill	NA	dissimilation; alternation; assimilation; liquid; approximant
116	Dargwa	dar	NA	trill	NA	sonorant; liquid; gemination; assimilation; alternation; position
117	Aghul	agx	NA	trill	NA	sonorant; dissimilation
118	Rutul	rut	rut	trill	trilled	sonorant; trembling; elision; trill
119	Tabasaran (Southern dialect)	tab	NA	trill	NA	sonorant
120	Khinalug	kjj	NA	trill	trilled	sonorant; trill
121	Tsakhur	tkr	NA	trill	NA	liquid; initial; restriction
122	Kumyk	kum	NA	trill	trilled	trembling; sonorant; trill; tap; restriction; initial; elision; metathesis; prothetic
123	Chechen	che	che	trill	other	resonant; liquid; devoising; assimilation; gemination
124	Udi	udi	NA	trill	NA	liquid; sonorant; prothetic; initial; restriction; assimilation
125	Avar	ava	ava	no trill	NA	sonant; liquid; sonorant
126	Erzya Mordvin	myv	myv	NA	trilled	liquid
127	Khanty	kca	kca	trill	trilled	trill; sonorant; variation; position; trembling
128	Komi	kpv	kpv	trill	trilled	trembling; sonorant; trill
129	Northern Saami	sme	sma	trill	trilled	tremulant; devoising; gradation; gemination
130	Mari	mhr	mhr	no trill	other	flap; palatalization; tremulant
131	Nenets	yrk	yrk	trill	trilled	liquid; tremulant; palatalization; initial; restriction; gemination; trill; alternation
132	Selkup	sel	sel	no trill	trilled	trill
133	Udmurt	udm	udm	NA	trilled	vibrant; trill; initial; restriction
134	Bezhta	kap	NA	trill	trilled	sonorant; vibrant; alternation; sonant; 
135	Panare	pbh	pbh	no trill	other	flap; liquid; retroflex; lateral; position; contrast; alternation; hardening
136	Macushi	mbc	mbc	no trill	other	sonorant; flap; restriction; lateral; tap
137	De'kwana	mch	mch	no trill	other	flap; hardening; gemination; palatalization; approximant; variation; initial; alternation
138	Wai Wai	waw	waw	no trill	other	flap; alternation; lateral; palatalization; contrast; position; 
139	Jamaican Creole (Limonese Creole dialect)	jam	jam	no trill	OUT	approximant
140	Polci	plj	plj	NA	NA	tap
141	Nahuatl (Sierra de Zacapoaxtla variety)	azz	ncj	no rhotic	other	vibrant; tap; trill
142	Chatino (Zacatepec variety)	ctp	ctp	no trill	other	liquid; tap; trill; variation; flap; position
143	Karok	kyh	kyh	no trill	other	alternation; nasalization; denasalization; flap
144	Seri	sei	sei	no trill	OUT	tap
145	Maori	mri	mri	no trill	other	tap; trill; variation; hardening; lateral; liquid; flap
146	Rapa Nui	rap	rap	NA	other	flap; contrast; liquid
147	Tongan	ton	ton	no trill	other	flap; lateral; approximant
148	Tuamotuan	pmt	pmt	NA	trilled	median; flap; devoicing; roll; fricative; variation; position; trill
149	Muisca	chb	chb	no trill	OUT	vibrant; tap; alternation; retroflex; fricative
150	Colorado	cof	cof	no trill	other	approximant
151	Embera	emp	emp	mixed with trill	OUT	flap; trill; alternation
152	Epena	sja	sja	mixed with trill	OUT	vibrant; trill; tap
153	Yuwana	yau	yau	no trill	OUT	NA
154	Yaruro	yae	yae	no trill	other	vibrant; nasalization; position; contrast; tap; initial; restriction
155	Ninam (Shirishana variety)	shb	shb	no trill	other	liquid; lateral; nasalization
156	Yanomámi	wca	wca	no trill	other	flap
157	Cofán	con	con	no trill	other	flap; vibrant; contrast; tap
158	Aguaruna	agr	agr	no trill	other	flap; alternation; lenition; lateral; trill; rhotic; liquid
159	Yagua	yad	yad	no trill	other	flap; contrast; retroflex; fricative; alternation; nasalization
160	Baure	brg	brg	no trill	other	rhotic; flap; retroflex; vibrant; position; devoising; palatalization; contrast
161	Goajiro	guc	guc	mixed with trill	OUT	trill; lateral; dissimilation; flap; vibrant; contrast; tap
162	Ignaciano	ign	ign	no trill	other	vibrant; flap; restriction; initial
163	Wapishana	wap	wap	no trill	other	flap; fricative; retroflex; contrast
164	Waurá	wau	wau	no trill	other	flap; alternation; tap; position
165	Aymara	ayr	ayr	no trill	other	liquid; vibrant; initial
166	Chipaya	cap	cap	no trill	other	flap; devoising; initial; position; retroflex; contrast
167	Mosetén	cas	cas	no trill	trilled	trill; position; retroflex; flap
168	Cavineña	cav	cav	no trill	other	liquid; tap; lateral; retroflex; flap; vibrant; contrast
169	Tacana	tna	tna	no trill	other	NA
170	Movima	mzp	mzp	no trill	other	flap; vibrant; retroflex; position; hardening
171	Pacaas Novos	pav	pav	no trill	other	liquid; flap; position; initial; restriction; contrast; tap; hardening; nasalization
172	Mundurukú	myu	myu	no trill	other	liquid; approximant; initial; restriction; assimilation; nasalization
173	Aché	guq	guq	no trill	other	tap; sonant; nasalization; initial; restriction; alternation
174	Chiriguano	gui	gui	no trill	other	vibrant; contrast; nasalization; neutralization; tap; liquid
175	Wayampi	oym	oym	no trill	OUT	flap; approximant; lateral; retroflex
176	Kaingáng	kgp	kgp	no trill	other	alternation; tap; approximant; retroflex; vibrant; variation; position
177	Karajá	kpj	kpj	no trill	other	approximant; flap; syncope; tap
178	Trumai	tpy	tpy	trill	other	tap
179	Ayoreo	ayo	ayo	no trill	other	approximant; variation; alternation
180	Mocoví	moc	moc	no trill	other	liquid; flap; alternation
181	Tehuelche	teh	teh	trill	trilled	contrast; vibrant; trill; tap; retroflex; position; alternation; position; sonorant
182	Selknam	ona	ona	no trill	other	tap; alternation; contrast
183	Qawasqar	alc	alc	no trill	trilled	contrast; tap; vibrant; fricative; approximant; trill
184	Toba	tob	tob	no trill	OUT	lenition; tap
